,Invested Amount,Successful Attacks,Failed Attacks,Business Value,Number of Employees,Employee Training,Known Vulnerabilities,External Advisor,Risk
2762,251657,43,22,5019713,67815,0,3,0,2
2763,1388492,31,35,4975537,40462,2,1,1,1
2764,1444262,43,45,4999728,63344,1,4,0,2
2765,896017,17,14,5053292,34148,1,6,1,2
2766,1061222,20,7,5045126,75231,2,3,0,0
2767,791649,1,5,5012598,78523,1,1,1,0
2768,1505770,1,48,5041095,14724,2,1,0,1
2769,595745,18,39,4930221,29104,1,7,1,2
2770,488712,8,27,4871473,62480,2,2,0,0
2771,997771,10,44,4984109,57004,2,9,1,1
2772,1265447,31,23,4962672,68753,0,8,0,2
2773,1163567,31,42,4975144,77537,1,4,1,1
2774,127318,21,23,4993913,63804,2,0,0,0
2775,120751,5,46,4959890,49842,1,4,1,1
2776,264583,27,24,5024046,14979,0,8,0,2
2777,977399,19,14,5033022,38256,2,7,1,1
2778,1226894,26,42,4932689,44309,2,4,0,1
2779,310112,40,36,4970371,61033,1,6,1,2
2780,321477,15,38,5086832,67608,1,4,0,1
2781,1164593,15,45,5025979,30507,2,7,1,1
2782,1438382,43,1,4978085,84892,2,6,0,1
2783,877800,23,27,4918822,68675,2,5,1,0
2784,219251,43,47,4894051,81885,0,6,0,2
2785,1171333,22,4,4986814,84228,2,3,1,0
2786,228935,25,20,4988786,35426,1,7,0,2
2787,858946,28,38,4970083,35464,1,5,1,2
2788,410925,44,23,4982371,67964,2,5,0,1
2789,503835,16,29,4938308,84998,2,8,1,0
2790,163543,10,17,4926148,13027,1,4,0,2
2791,995992,20,40,5065013,88965,2,5,1,0
2792,687555,42,44,4993524,88797,1,0,0,1
2793,693624,40,15,4960373,82833,1,0,1,1
2794,302836,1,45,5000005,49811,1,6,0,2
2795,581367,1,5,5033675,58023,1,3,1,1
2796,738194,24,24,5072419,24592,1,1,0,2
2797,1173058,31,18,4929235,17861,0,2,1,2
2798,479968,30,25,5038942,13270,1,2,0,2
2799,746289,25,20,5013891,74764,0,2,1,2
2800,330928,36,44,5033302,60617,1,6,0,2
2801,1293823,36,41,5003488,29514,1,5,1,2
2802,266370,9,49,4903334,42769,1,5,0,2
2803,811638,20,40,4989306,31082,0,7,1,2
2804,511104,25,36,4974743,58186,2,9,0,2
2805,1370916,29,47,5035250,34077,0,5,1,2
2806,449913,46,46,4996896,83182,1,3,0,2
2807,153469,4,48,4995139,51869,1,9,1,2
2808,1239403,46,6,4955187,17783,1,5,0,2
2809,754627,30,35,5008448,9958,2,6,1,2
2810,2282,28,16,4927897,50719,2,4,0,1
2811,1252979,12,13,4987901,19495,2,7,1,1
2812,1321904,34,47,4971656,9546,0,8,0,2
2813,1438283,15,45,4990399,89528,1,9,1,1
2814,17101,25,38,5048650,51915,1,4,0,2
2815,37127,10,33,5014419,83835,1,7,1,1
2816,667140,47,1,4983032,89928,2,5,0,1
2817,631675,2,38,5010046,30051,0,9,1,2
2818,330571,38,19,5007549,22310,1,2,0,2
2819,1228828,48,42,4966000,11037,0,9,1,2
2820,747688,43,19,4897802,22983,0,4,0,2
2821,312788,12,48,4989034,16533,1,0,1,1
2822,512824,24,19,5105992,84811,2,9,0,1
2823,933195,45,10,4936610,9346,2,4,1,2
2824,354433,14,43,5062184,64494,1,8,0,2
2825,877397,36,3,5059240,19727,2,0,1,1
2826,138077,34,35,5044357,67082,2,9,0,2
2827,1284188,5,7,5044875,7174,1,0,1,1
2828,408942,5,43,4978732,43245,1,8,0,2
2829,375277,13,7,4938713,51080,2,3,1,1
2830,1006181,24,16,4927824,87632,2,0,0,0
2831,555220,39,3,4984717,71808,1,0,1,1
2832,71874,16,5,5030592,39658,2,8,0,2
2833,832127,17,40,4940141,53303,2,4,1,1
2834,1391363,32,39,4981501,4134,2,0,0,2
2835,1172907,48,11,5000359,60370,2,0,1,1
2836,1333622,43,3,4996421,73625,0,0,0,2
2837,461779,23,43,5017337,69491,2,7,1,1
2838,946610,36,5,4987960,49646,2,2,0,1
2839,1228521,31,12,4984149,19433,1,7,1,2
2840,1422571,42,38,4964641,46094,0,2,0,2
2841,1177484,38,30,5030787,71696,2,0,1,0
2842,180721,14,49,5069955,75782,2,8,0,1
2843,1073413,19,46,4987742,85854,0,2,1,2
2844,297870,25,46,5012613,71828,1,4,0,2
2845,1487863,20,13,4994046,27705,2,4,1,1
2846,433216,36,46,5004190,32484,0,1,0,2
2847,697120,49,34,5002371,64321,0,1,1,2
2848,970065,36,47,5049076,52242,1,9,0,2
2849,1031574,11,15,4952915,70550,2,6,1,0
2850,199241,8,42,5037368,8711,0,3,0,2
2851,574505,48,45,5004986,76351,1,0,1,1
2852,1168294,18,28,4945945,29882,1,8,0,2
2853,665686,27,30,5037858,11088,1,6,1,2
2854,517690,32,17,5062326,30833,1,6,0,2
2855,195364,49,23,5139458,12444,1,1,1,2
2856,602430,11,1,5064473,25844,1,8,0,2
2857,574654,44,12,5035344,69267,1,1,1,1
2858,663672,16,11,4928225,28693,2,6,0,2
2859,935051,49,24,4974432,44808,1,1,1,2
2860,985798,12,1,5039477,40103,0,1,0,2
2861,312783,36,35,5037628,69748,1,1,1,1
2862,1047906,11,3,4950303,43837,0,2,0,2
2863,1420874,0,35,4978161,50919,0,8,1,2
2864,742828,23,31,4949380,51199,0,4,0,2
2865,150449,46,48,4997130,21591,1,9,1,2
2866,561883,16,1,5012220,20217,0,9,0,2
2867,287895,23,36,5082796,6742,2,6,1,2
2868,1024846,33,41,4980001,27348,2,9,0,2
2869,1363900,17,38,5008070,21454,0,9,1,2
2870,601577,12,3,4922814,77162,0,5,0,2
2871,482276,43,48,5023053,4293,2,6,1,2
2872,1464689,47,20,4979467,65127,0,2,0,2
2873,765780,34,29,5049654,65320,1,3,1,1
2874,1317131,7,24,4954672,77940,2,3,0,0
2875,1269240,38,19,5025762,11109,1,3,1,2
2876,1191057,23,29,5001908,49198,2,3,0,1
2877,877147,9,31,5031832,89919,0,6,1,2
2878,935192,29,36,5100769,48355,1,3,0,2
2879,850696,14,26,4992520,78606,1,4,1,1
2880,1460251,23,16,4944309,25963,1,4,0,2
2881,1445562,1,48,4951215,78246,1,2,1,0
2882,883632,18,2,4968159,81698,0,2,0,2
2883,256422,47,42,5065304,35300,0,4,1,2
2884,1158415,12,48,5035558,34329,0,0,0,2
2885,1465524,38,18,4984410,9801,0,0,1,2
2886,183259,5,8,5007965,67675,2,6,0,1
2887,1254162,7,46,5134667,99,1,1,1,1
2888,935622,12,4,4935853,55837,0,8,0,2
2889,1393726,48,0,5123418,14267,0,8,1,2
2890,484803,13,7,4962721,75492,2,6,0,1
2891,69470,16,48,4933801,15877,2,8,1,2
2892,235700,39,25,5034973,79495,0,8,0,2
2893,1204938,7,34,5034857,31463,0,6,1,2
2894,114831,11,9,5008513,2639,2,1,0,2
2895,92989,2,21,4875739,63127,0,5,1,2
2896,1352659,33,44,5044225,27419,0,6,0,2
2897,368051,13,28,5063667,80012,0,0,1,1
2898,691756,49,20,5034716,12720,0,0,0,2
2899,1401250,16,6,5024845,17576,1,9,1,2
2900,5195,31,46,4978458,79113,2,1,0,0
2901,814579,10,17,4974730,79808,0,8,1,2
2902,318116,43,13,5058979,62329,1,4,0,2
2903,101804,5,13,5058193,67901,1,6,1,1
2904,279577,44,29,4983218,73860,1,9,0,2
2905,463374,45,34,4984874,3485,1,1,1,2
2906,1084925,9,0,5025417,24160,0,3,0,2
2907,1454370,17,7,5034555,86253,0,6,1,2
2908,1276030,38,40,5027952,84720,1,7,0,2
2909,939285,45,12,5000427,46923,2,4,1,1
2910,975449,14,16,5009606,20968,2,7,0,2
2911,626301,32,45,5025240,23568,0,7,1,2
2912,876680,37,16,5021679,16813,0,0,0,2
2913,235710,28,45,4973183,38463,1,6,1,2
2914,298040,21,35,4987994,8137,1,2,0,2
2915,898750,5,45,4962542,630,1,5,1,2
2916,358186,10,26,4992944,69380,1,3,0,1
2917,1229562,28,11,4953422,26117,2,9,1,2
2918,523917,18,35,4965843,35878,2,8,0,2
2919,476739,16,11,4949272,14836,1,6,1,2
2920,1118094,24,19,5034343,20185,1,9,0,2
2921,689964,34,29,5041503,87774,2,9,1,1
2922,251558,18,24,4990362,5321,2,5,0,2
2923,772070,22,41,5018756,80627,2,4,1,0
2924,333507,40,49,5041830,7870,2,0,0,2
2925,420857,21,4,5028867,43162,0,9,1,2
2926,606004,25,19,4956638,18666,2,7,0,2
2927,916423,28,21,4972950,10233,0,1,1,2
2928,53563,25,10,5055021,83077,1,3,0,1
2929,1069656,18,8,5046751,32579,2,8,1,1
2930,1455732,6,22,4947632,85261,1,7,0,1
2931,243494,42,8,5015282,57315,2,9,1,2
2932,1439478,40,47,5061317,41170,2,8,0,2
2933,243877,20,0,4985405,67347,2,9,1,1
2934,1438948,6,34,4954200,27891,0,5,0,2
2935,113706,1,8,5011343,67947,2,0,1,0
2936,11160,30,13,4966769,51494,1,9,0,2
2937,658512,42,0,4971967,77046,1,9,1,2
2938,1341615,25,31,4969080,75486,1,0,0,1
2939,862298,18,37,4996781,40671,0,1,1,1
2940,1320094,39,15,5000283,15514,0,2,0,2
2941,1372804,19,20,5010203,71225,1,5,1,1
2942,1375323,40,48,5025546,74687,0,5,0,2
2943,1229973,21,3,4998328,14788,1,7,1,2
2944,1124427,1,48,4972600,85424,0,6,0,2
2945,685388,23,17,5042600,65750,2,8,1,1
2946,966495,22,45,5036930,22146,0,1,0,2
2947,949558,39,26,5013598,19811,0,7,1,2
2948,21437,0,38,5014327,62672,1,1,0,1
2949,5078,32,40,4959549,24325,0,0,1,2
2950,1424916,0,26,4987268,9063,2,4,0,1
2951,898204,10,9,5017685,6626,1,4,1,2
2952,586999,10,3,4992442,76513,2,1,0,0
2953,500065,0,19,4900347,22379,0,0,1,1
2954,1147224,31,32,5008656,26940,1,1,0,2
2955,900090,21,41,4986462,14075,0,9,1,2
2956,1183894,12,46,5013978,85272,0,2,0,2
2957,679884,41,12,5004407,3828,0,1,1,2
2958,308868,27,25,5048619,14331,0,9,0,2
2959,175128,24,16,4961287,27825,0,6,1,2
2960,715963,7,27,5079986,7462,0,4,0,2
2961,334790,2,13,4973024,229,0,3,1,1
2962,1068765,31,18,4967731,33371,1,8,0,2
2963,693901,25,20,5010995,39114,0,6,1,2
2964,1408909,4,41,5017901,79771,2,7,0,0
2965,951602,35,21,4955021,25584,1,0,1,1
2966,605118,44,7,4958514,45856,0,0,0,2
2967,393891,16,6,5033868,68841,1,1,1,1
2968,1145625,24,8,5021399,54278,0,2,0,2
2969,711067,20,27,4922063,22302,2,7,1,2
2970,120351,27,36,5131613,63559,0,9,0,2
2971,606166,21,10,5008965,35772,0,0,1,1
2972,913388,1,22,5021649,7086,1,2,0,1
2973,42450,16,10,5014100,61471,2,9,1,1
2974,1146523,2,23,5003866,458,2,0,0,1
2975,1010337,22,12,4995948,1227,1,5,1,2
2976,569257,24,3,4901252,52887,1,4,0,2
2977,582629,11,23,5005875,53052,0,6,1,2
2978,1441735,39,25,5036721,29226,1,3,0,2
2979,1381926,23,9,5106800,13303,2,0,1,1
2980,1314224,16,42,5059392,25370,2,8,0,2
2981,1110021,28,28,5037519,20079,0,7,1,2
2982,204286,32,41,5031203,3274,0,9,0,2
2983,1193629,36,27,4915969,88967,1,4,1,1
2984,812313,23,19,5020730,3184,2,3,0,2
2985,1227764,19,20,4938702,42858,0,7,1,2
2986,1446768,34,0,5051555,8004,2,1,0,2
2987,794903,38,35,4933661,85073,1,0,1,1
2988,1332988,40,16,5004540,71557,2,6,0,1
2989,760841,45,36,4940116,520,2,2,1,2
2990,234978,43,34,4939834,27544,1,6,0,2
2991,569570,41,5,4933937,6089,0,9,1,2
2992,654353,12,39,5043306,38623,0,6,0,2
2993,65081,26,36,5032260,21740,1,4,1,2
2994,1387356,14,31,5015037,39861,0,8,0,2
2995,114292,5,13,5089538,50583,0,0,1,1
2996,633690,8,22,4992212,21309,2,9,0,2
2997,81670,24,49,5030135,23152,1,2,1,2
2998,727002,19,29,4959156,80157,0,6,0,2
2999,201243,46,31,5011727,28226,1,1,1,2
3000,1404427,5,26,5052784,81132,1,4,0,1
3001,908278,33,21,5101730,64070,0,1,1,2
3002,1068318,43,42,4918772,85157,1,5,0,2
3003,866711,40,40,5064080,43463,1,4,1,2
3004,31280,2,36,5036763,22420,2,8,0,2
3005,866115,15,48,5086760,9124,1,2,1,1
3006,993048,3,3,5025869,52428,1,7,0,1
3007,1229619,27,36,4957615,20300,2,5,1,2
3008,558279,6,36,4984152,31305,0,1,0,2
3009,973272,48,1,5026851,3006,0,5,1,2
3010,926372,5,21,4960676,6093,0,3,0,2
3011,693777,30,37,5023763,28927,2,6,1,2
3012,1128813,25,26,4953881,82491,1,7,0,2
3013,299269,7,49,4953998,30364,2,2,1,1
3014,33226,1,17,4994799,14782,2,0,0,1
3015,700536,43,2,5025254,76330,1,7,1,2
3016,449957,4,38,5031847,2940,2,4,0,2
3017,24388,8,15,5073043,20168,1,0,1,1
3018,875935,11,40,4921790,84780,2,9,0,1
3019,1304138,17,31,4976628,48983,0,6,1,2
3020,1435391,15,4,5037416,74192,2,4,0,0
3021,1316355,41,45,4977194,72705,1,2,1,1
3022,900,33,3,5068229,29417,2,8,0,2
3023,874790,24,15,4969877,81126,0,5,1,2
3024,915330,16,31,5031963,40797,0,3,0,2
3025,387792,37,30,4991849,62819,1,5,1,2
3026,219022,22,33,5000640,61248,1,2,0,1
3027,667984,3,14,5062492,76995,1,2,1,0
3028,490100,20,47,5103715,62969,2,2,0,1
3029,649256,27,10,4967409,44278,2,5,1,1
3030,341090,49,30,5030440,46451,1,9,0,2
3031,640485,17,35,5025553,29840,2,2,1,1
3032,80217,34,7,4987998,72427,0,2,0,2
3033,782204,29,8,5083145,76514,1,5,1,1
3034,216734,23,46,5096155,69760,2,1,0,0
3035,230352,8,47,4999960,61608,1,2,1,1
3036,50644,8,16,4982656,6795,0,9,0,2
3037,1488758,4,49,5037064,42100,2,9,1,1
3038,847057,7,22,4927271,39662,0,7,0,2
3039,658294,17,1,5025152,63286,1,5,1,1
3040,209597,35,37,5014337,40600,0,3,0,2
3041,1379259,7,10,5014384,657,0,3,1,1
3042,487105,29,24,4950986,62042,1,2,0,1
3043,104621,28,24,4981785,13947,0,1,1,2
3044,33524,17,33,5040134,64206,1,4,0,2
3045,962758,35,34,4938525,20832,0,4,1,2
3046,1144913,1,18,4995799,62860,0,4,0,2
3047,326011,19,19,5028319,25541,2,3,1,1
3048,107393,8,44,4973427,60911,0,1,0,2
3049,132940,26,49,5048442,26449,0,6,1,2
3050,277986,34,33,5001126,7923,2,9,0,2
3051,1062310,14,20,5005431,56394,0,7,1,2
3052,785177,36,1,5048840,58985,2,7,0,1
3053,901235,30,25,4929052,75809,1,2,1,1
3054,1199458,49,49,4911010,72510,0,8,0,2
3055,1205056,45,0,5024501,3485,2,4,1,2
3056,743413,27,43,4916685,12273,0,0,0,2
3057,1098031,7,37,4958677,39006,2,5,1,1
3058,407612,38,12,5020411,21449,1,5,0,2
3059,1387408,32,34,4928598,53170,0,6,1,2
3060,118361,22,5,5011359,19223,0,2,0,2
3061,179017,10,0,5054909,23244,0,5,1,2
3062,877332,24,12,4924322,64022,2,6,0,1
3063,1344153,0,48,5050834,60364,1,9,1,1
3064,1088861,23,24,4984743,591,0,0,0,2
3065,1387000,8,19,4963106,55413,1,5,1,1
3066,1192294,23,31,4951174,33239,0,3,0,2
3067,605542,29,35,5019362,47446,1,2,1,1
3068,1464219,6,0,5027156,43371,1,1,0,1
3069,590174,31,12,5014699,28422,2,1,1,1
3070,335965,1,18,4952602,89630,0,1,0,2
3071,337722,33,41,5022943,38265,1,9,1,2
3072,309769,46,6,5048332,36246,2,7,0,2
3073,1061363,41,11,4962296,14547,1,6,1,2
3074,30405,11,45,5014177,78311,2,2,0,0
3075,336192,5,33,4926643,50172,0,8,1,2
3076,988328,15,45,5097359,6171,0,6,0,2
3077,748502,34,15,4925993,45091,0,8,1,2
3078,1400490,44,47,4988594,30871,1,0,0,2
3079,50846,48,26,5086667,14406,1,0,1,2
3080,386597,37,10,5003671,71986,1,8,0,2
3081,125546,12,10,4947890,76229,0,7,1,2
3082,539662,27,12,4996228,68223,1,6,0,2
3083,398165,5,14,4984624,26177,0,2,1,1
3084,612798,10,0,4963348,75322,1,7,0,1
3085,810439,30,46,5026155,37297,2,1,1,1
3086,1503407,49,5,5116089,59984,1,2,0,2
3087,606439,6,9,4960124,27235,2,8,1,1
3088,1170028,13,27,4998410,58292,1,4,0,1
3089,769397,17,46,5033162,30305,1,0,1,1
3090,1383917,34,34,4965835,70556,1,2,0,1
3091,383367,46,30,4970758,7555,0,6,1,2
3092,1395558,26,42,4938512,20746,2,5,0,2
3093,253144,49,40,5011355,1090,1,6,1,2
3094,1168030,30,34,4924116,52995,0,4,0,2
3095,435477,49,23,4968469,16126,2,4,1,2
3096,630016,10,22,4941827,65118,0,9,0,2
3097,138743,38,1,4943514,65542,0,7,1,2
3098,1275662,13,37,5061471,6026,2,1,0,1
3099,289068,22,1,4969513,66501,0,1,1,2
3100,1297798,36,26,4997027,44351,1,6,0,2
3101,1396655,28,21,5018380,38401,2,4,1,1
3102,723814,2,5,4980180,60017,2,2,0,0
3103,865988,0,44,5003155,71920,0,7,1,2
3104,258791,25,29,5002720,42501,2,1,0,1
3105,1032715,16,26,4952674,5517,1,6,1,2
3106,1532091,19,48,5109646,12840,0,2,0,2
3107,1332643,33,26,5025738,83283,0,6,1,2
3108,868743,34,25,5052946,58327,2,6,0,1
3109,1067113,16,30,4989183,11728,1,7,1,2
3110,1161716,42,2,5047740,38404,0,7,0,2
3111,324290,32,45,4955336,52936,2,1,1,1
3112,1002490,32,31,4940471,24487,1,0,0,2
3113,220259,17,9,5020090,76614,2,3,1,0
3114,1511374,20,17,5102907,54077,0,6,0,2
3115,898374,21,30,5011297,66092,2,1,1,0
3116,101208,30,5,4957250,13751,2,4,0,2
3117,1435352,25,38,4986358,55143,2,9,1,1
3118,491659,3,42,4995752,66968,1,4,0,1
3119,1349177,43,48,4928771,53349,0,0,1,2
3120,362426,1,32,5051873,18845,0,7,0,2
3121,1048878,0,33,5074362,51907,0,0,1,1
3122,946511,13,19,4859738,19669,1,8,0,2
3123,857933,41,5,5039979,46039,0,7,1,2
3124,205456,24,33,4997452,2080,1,6,0,2
3125,112281,21,44,4926317,75558,2,7,1,1
3126,1384475,19,21,4977002,26069,2,1,0,1
3127,632939,30,7,4950417,84058,2,3,1,0
3128,1141122,47,26,5015160,87240,2,0,0,0
3129,929830,49,44,4970706,33114,2,8,1,2
3130,1080209,3,28,5003787,85582,2,8,0,0
3131,650553,3,31,5047202,84868,2,1,1,0
3132,982307,20,31,5008013,61714,1,9,0,2
3133,548379,41,5,5081206,70288,0,2,1,2
3134,937969,29,39,5016437,89722,1,5,0,1
3135,540475,21,12,5057827,42057,2,1,1,1
3136,1328705,2,13,4933318,86883,1,3,0,1
3137,463466,20,26,4989225,62192,0,9,1,2
3138,332904,37,18,5021942,64778,1,9,0,2
3139,1082867,26,9,4977739,15711,2,7,1,2
3140,1401683,27,47,4931276,83164,2,1,0,0
3141,108935,33,19,5053559,22334,2,2,1,2
3142,394954,43,28,5008895,16666,1,8,0,2
3143,271778,5,45,4985595,67380,2,0,1,0
3144,70805,26,17,5028788,10096,1,0,0,2
3145,685547,22,12,4938924,59298,1,0,1,1
3146,1434,44,8,4996843,67569,0,0,0,2
3147,167470,31,34,5179306,14050,0,5,1,2
3148,1456275,42,36,5095137,49498,0,4,0,2
3149,1007386,7,45,5009507,19706,2,5,1,1
3150,439844,39,14,4948092,69126,0,2,0,2
3151,551452,3,24,4963916,87306,1,1,1,0
3152,1414604,27,5,4963984,56922,2,1,0,1
3153,104671,12,24,5007413,78221,2,3,1,0
3154,730577,27,49,5036197,29808,2,5,0,2
3155,1425561,5,21,5051653,22645,1,8,1,2
3156,96924,30,24,5075198,50972,2,0,0,1
3157,960062,14,41,5018308,63578,0,4,1,2
3158,492212,41,7,5040098,44913,2,5,0,2
3159,196157,21,41,5069924,11625,0,5,1,2
3160,913970,30,1,5009206,72868,1,4,0,2
3161,1039558,47,47,4979657,61771,0,7,1,2
3162,60188,19,36,4958703,38410,1,7,0,2
3163,305824,49,16,5061886,73064,1,8,1,2
3164,785693,7,39,5036805,71382,2,3,0,0
3165,1436434,46,38,4973843,14105,0,6,1,2
3166,1387867,21,7,5091751,23251,0,7,0,2
3167,8301,5,2,4932316,88649,2,7,1,0
3168,249246,17,22,5137917,77597,0,7,0,2
3169,1335929,1,40,4996142,78201,0,8,1,2
3170,1094734,23,46,5000938,23470,2,5,0,2
3171,953400,47,35,4956462,53525,1,6,1,2
3172,278799,38,22,4986819,22099,2,1,0,2
3173,293284,49,8,5006909,40134,1,8,1,2
3174,364076,28,15,5032263,40183,1,4,0,2
3175,995095,9,30,4986872,83528,2,2,1,0
3176,530251,26,13,4999158,63696,0,2,0,2
3177,336668,10,28,4999605,29598,0,3,1,2
3178,160083,9,40,5012902,16279,0,7,0,2
3179,292051,21,8,5081795,53043,2,0,1,0
3180,1199037,13,2,4987015,20211,2,5,0,2
3181,1206546,10,17,4989781,13364,1,8,1,2
3182,808682,28,17,5019227,37580,2,5,0,2
3183,538222,5,23,5054940,10799,1,9,1,2
3184,303629,35,21,4972333,66014,2,7,0,1
3185,176321,29,49,4997789,22808,1,3,1,2
3186,813165,5,14,5014119,24910,2,0,0,1
3187,871756,33,25,5040502,35345,1,2,1,1
3188,691064,30,13,5009444,8316,0,3,0,2
3189,243443,4,26,5000450,80001,1,5,1,1
3190,590915,35,42,5042381,62080,2,4,0,1
3191,554677,22,21,5102241,27467,1,9,1,2
3192,56899,17,17,4997169,30465,1,8,0,2
3193,441476,30,31,4970710,79862,1,1,1,1
3194,931775,20,35,4956994,46649,1,7,0,2
3195,921410,32,23,5029360,60887,1,2,1,1
3196,415530,48,11,4997128,9913,1,6,0,2
3197,1047586,3,13,4987857,15510,2,9,1,2
3198,1033886,43,20,5038909,10702,2,5,0,2
3199,963855,39,28,5035472,32198,0,0,1,2
3200,553529,8,33,5001524,56801,0,0,0,2
3201,347331,42,13,4999155,68391,0,0,1,2
3202,17408,18,18,5011780,70341,1,7,0,2
3203,550088,49,47,4940255,83357,2,5,1,1
3204,958786,26,45,5023398,17293,2,4,0,2
3205,287670,5,3,5000843,84512,1,6,1,1
3206,1269290,33,21,5022376,46210,0,3,0,2
3207,441082,19,33,4980282,51551,0,0,1,1
3208,1385912,42,36,4968122,28837,1,2,0,2
3209,156539,42,36,5020291,49667,0,7,1,2
3210,960641,26,11,4915599,46549,2,8,0,2
3211,1346703,45,2,4992407,66121,1,2,1,1
3212,1127793,31,44,5047164,7423,0,6,0,2
3213,780586,32,5,5096035,22012,1,6,1,2
3214,297782,30,16,5011857,4553,2,3,0,2
3215,1403539,13,11,4970643,84073,0,7,1,2
3216,1353481,36,20,4974310,11618,0,4,0,2
3217,763688,14,3,5020980,17513,2,8,1,2
3218,455669,26,30,4942001,746,1,9,0,2
3219,1476923,32,9,5040572,69726,0,6,1,2
3220,777548,32,44,4937467,45192,2,1,0,1
3221,1466567,46,30,5037756,88346,0,4,1,2
3222,1174519,23,4,4986930,51468,0,6,0,2
3223,925021,3,10,5086486,1356,0,8,1,2
3224,282295,43,24,5002657,45830,1,6,0,2
3225,104339,6,0,5013297,13246,1,1,1,1
3226,306623,6,4,5055519,68616,1,8,0,2
3227,571848,24,49,5018649,53709,2,0,1,0
3228,712445,46,26,4953679,80987,1,6,0,2
3229,97179,48,40,4940743,57726,1,3,1,2
3230,889418,34,28,5076385,25743,0,6,0,2
3231,452293,2,31,4961383,30360,2,3,1,1
3232,982888,34,3,5013527,73494,0,7,0,2
3233,976101,6,12,5044347,9422,0,9,1,2
3234,1496678,10,37,5124329,13400,0,7,0,2
3235,588036,25,47,4960741,12803,0,0,1,2
3236,1135181,23,27,5008590,21878,2,3,0,2
3237,781692,19,1,5000148,45440,1,0,1,1
3238,575033,4,41,4982599,48444,0,7,0,2
3239,883938,19,48,4932980,51775,0,5,1,2
3240,1128549,43,34,5083384,82027,0,5,0,2
3241,253407,8,37,4937811,35180,2,4,1,1
3242,282267,37,11,5107119,84968,1,0,0,1
3243,917095,38,34,5022341,47704,0,1,1,2
3244,708015,10,28,4963038,31463,2,1,0,1
3245,620634,4,47,5075931,47503,1,8,1,1
3246,1093823,17,48,5033299,46260,2,6,0,1
3247,335092,32,26,4979687,85255,2,8,1,1
3248,387023,29,20,4951801,78045,2,5,0,1
3249,489092,10,11,5045742,58021,1,2,1,1
3250,355601,21,25,5016484,35051,2,6,0,2
3251,1518351,44,44,5096312,20804,2,5,1,2
3252,785154,6,35,5002690,43503,1,9,0,2
3253,873353,0,37,4988307,29084,1,8,1,1
3254,1405770,32,23,4990398,9321,0,2,0,2
3255,937321,21,8,5057682,21665,0,0,1,1
3256,1278064,10,16,5065308,19851,0,7,0,2
3257,1138564,28,8,4976487,4672,1,4,1,2
3258,449236,28,19,4960269,3541,0,5,0,2
3259,101172,25,26,5046552,73910,1,3,1,1
3260,1134441,39,43,4964359,79276,2,1,0,0
3261,116644,30,10,5042223,37016,0,1,1,2
3262,504309,2,46,5078838,47972,2,0,0,0
3263,169085,33,26,5069130,68069,2,8,1,1
3264,1088343,15,34,4972248,49934,0,2,0,2
3265,720400,47,17,4966588,40967,1,2,1,2
3266,1060798,19,1,5090038,84684,0,9,0,2
3267,257233,38,27,5090474,6394,1,8,1,2
3268,664886,9,29,5021893,38911,2,1,0,1
3269,518171,30,22,5012457,63205,0,2,1,2
3270,154490,43,31,4955675,39594,0,7,0,2
3271,842680,48,21,5069872,77103,0,4,1,2
3272,643608,28,25,4975829,87074,2,3,0,0
3273,73320,37,22,4926504,15412,1,7,1,2
3274,833719,31,4,5054634,83109,2,9,0,1
3275,400556,3,31,5008735,9475,1,4,1,1
3276,237577,8,18,5026302,36841,1,2,0,1
3277,1477915,5,25,5103116,44008,1,2,1,1
3278,72935,49,43,5071288,19889,1,6,0,2
3279,538627,23,15,4988379,86647,2,1,1,0
3280,106631,39,21,4945524,80565,0,1,0,2
3281,863738,19,19,5020399,83693,1,9,1,1
3282,397733,39,9,5023338,9756,2,6,0,2
3283,546156,36,44,4979590,68564,1,8,1,2
3284,1111219,46,32,5001647,51956,2,7,0,2
3285,1091355,19,11,5087342,4754,1,2,1,1
3286,780809,7,42,5025601,20575,0,6,0,2
3287,189401,13,26,4991021,15314,2,4,1,1
3288,882793,29,29,4964208,80256,2,7,0,1
3289,682553,16,3,5017364,10302,0,3,1,2
3290,399179,2,30,5023987,30791,1,2,0,1
3291,649004,8,46,5063518,54328,2,2,1,0
3292,874237,18,42,5038627,37398,1,0,0,1
3293,625461,19,17,4991990,74024,2,5,1,0
3294,65667,14,37,4997755,69507,1,4,0,1
3295,695996,22,43,5012884,68089,1,6,1,1
3296,1256236,5,47,5040108,84735,0,5,0,2
3297,1195205,43,46,4986213,84745,2,5,1,0
3298,1070473,37,13,4903014,50814,0,0,0,2
3299,317718,5,33,5019495,45902,1,7,1,1
3300,833547,49,48,5037196,14325,2,9,0,2
3301,593569,7,46,4962040,71745,1,1,1,0
3302,1238962,25,1,4933183,41074,1,9,0,2
3303,1389268,2,23,5046502,71479,1,8,1,1
3304,964524,25,17,5008400,44531,0,1,0,2
3305,74867,6,24,4989995,19129,1,1,1,1
3306,1136573,43,11,5058217,10554,1,8,0,2
3307,116091,15,45,4943629,24774,0,5,1,2
3308,1201288,10,34,5038005,65294,1,1,0,1
3309,377974,25,15,4965303,88724,1,5,1,1
3310,946078,33,26,4959068,47936,2,1,0,1
3311,715097,13,31,4969992,59800,1,7,1,1
3312,601983,39,21,5015191,70091,0,8,0,2
