,Industry,Region,Invested Amount,Successful Attacks,Failed Attacks,Business Value,Known Vulnerabilities,External Advisor,Risk
1154,HEALTHCARE,NORTH AMERICA,1069782,42,16,5031137,0,NO,LOW
1155,FINANCIAL SERVICES,AFRICA,892787,4,27,5086591,9,NO,LOW
1156,EDUCATION,AFRICA,71469,8,36,5036571,1,NO,LOW
1157,ECOMMERCE,EUROPE,1233127,44,1,5069088,3,YES,MEDIUM
1158,OTHER,EUROPE,1077279,11,31,5034718,0,NO,LOW
1159,EDUCATION,ASIA,646701,45,30,4978147,4,NO,LOW
1160,AUTOMOTIVE,SOUTH AMERICA,1225776,46,17,4973261,1,NO,LOW
1161,FINANCIAL SERVICES,NORTH AMERICA,1379437,39,45,5097242,7,YES,HIGH
1162,FINANCIAL SERVICES,NORTH AMERICA,962573,41,23,5045825,0,YES,HIGH
1163,AUTOMOTIVE,EUROPE,1474622,7,30,4915994,5,YES,LOW
1164,FINANCIAL SERVICES,AFRICA,254618,2,36,5032504,1,YES,MEDIUM
1165,TELECOM,NORTH AMERICA,540589,9,30,4924918,7,YES,HIGH
1166,EDUCATION,EUROPE,459408,37,10,4939269,1,NO,LOW
1167,HEALTHCARE,SOUTH AMERICA,419873,16,7,5058500,4,NO,MEDIUM
1168,OTHER,ASIA,542599,17,0,5033460,3,NO,LOW
1169,FINANCIAL SERVICES,SOUTH AMERICA,1213281,25,38,5011877,9,NO,MEDIUM
1170,HEALTHCARE,SOUTH AMERICA,1466830,31,44,4921631,2,NO,LOW
1171,EDUCATION,NORTH AMERICA,582804,5,8,5015099,7,NO,LOW
1172,AUTOMOTIVE,EUROPE,1278066,32,35,5026007,9,NO,LOW
1173,TELECOM,NORTH AMERICA,628513,18,5,5007745,9,YES,HIGH
1174,AUTOMOTIVE,NORTH AMERICA,637794,25,48,5036717,2,YES,MEDIUM
1175,FINANCIAL SERVICES,EUROPE,1016171,49,11,4978306,8,YES,HIGH
1176,ECOMMERCE,ASIA,633391,42,25,5035738,0,YES,MEDIUM
1177,TELECOM,NORTH AMERICA,421532,15,45,4955742,2,NO,LOW
1178,EDUCATION,EUROPE,250718,14,27,4965589,1,YES,MEDIUM
1179,AUTOMOTIVE,AFRICA,1134146,29,6,5105577,9,YES,MEDIUM
1180,EDUCATION,AFRICA,1499345,11,12,5006319,0,YES,LOW
1181,EDUCATION,NORTH AMERICA,1247695,20,31,5053540,2,YES,MEDIUM
1182,HEALTHCARE,NORTH AMERICA,574589,9,6,4954200,7,YES,HIGH
1183,ECOMMERCE,ASIA,1005348,29,5,4911993,6,NO,LOW
1184,ECOMMERCE,EUROPE,31191,21,2,4970177,6,NO,MEDIUM
1185,AUTOMOTIVE,EUROPE,1379211,18,28,4975111,1,NO,LOW
1186,OTHER,AFRICA,1461512,48,44,4966928,1,YES,LOW
1187,AUTOMOTIVE,NORTH AMERICA,904893,6,6,4982390,0,YES,LOW
1188,OTHER,AFRICA,1050726,43,30,4963171,5,YES,MEDIUM
1189,ECOMMERCE,NORTH AMERICA,902334,37,33,5011385,0,YES,MEDIUM
1190,ECOMMERCE,EUROPE,166620,2,24,5075048,6,NO,LOW
1191,OTHER,EUROPE,703804,7,28,5003936,3,YES,MEDIUM
1192,HEALTHCARE,ASIA,40984,47,43,5012111,7,YES,HIGH
1193,OTHER,ASIA,170952,21,38,4981491,8,NO,MEDIUM
1194,TELECOM,AFRICA,148861,14,29,5073778,5,NO,LOW
1195,EDUCATION,EUROPE,539778,27,8,5014507,4,NO,LOW
1196,AUTOMOTIVE,SOUTH AMERICA,599470,8,20,5032935,7,NO,LOW
1197,EDUCATION,AFRICA,626340,47,16,4976281,4,YES,MEDIUM
1198,FINANCIAL SERVICES,SOUTH AMERICA,578229,39,16,4956916,2,NO,MEDIUM
1199,ECOMMERCE,AFRICA,1233119,39,37,5053688,2,NO,LOW
1200,ECOMMERCE,SOUTH AMERICA,1339973,24,28,5072794,2,YES,MEDIUM
1201,FINANCIAL SERVICES,AFRICA,224254,40,23,4992624,3,YES,HIGH
1202,OTHER,EUROPE,1175867,4,15,5080419,0,YES,LOW
1203,ECOMMERCE,ASIA,419391,6,43,4911601,7,YES,MEDIUM
1204,OTHER,EUROPE,324239,18,35,5018399,2,YES,MEDIUM
1205,TELECOM,NORTH AMERICA,708375,3,45,5055290,7,NO,MEDIUM
1206,ECOMMERCE,ASIA,109751,34,2,5027160,9,YES,HIGH
1207,OTHER,ASIA,585129,15,45,5060897,8,YES,MEDIUM
1208,AUTOMOTIVE,AFRICA,1347425,42,47,5081670,1,NO,LOW
1209,FINANCIAL SERVICES,EUROPE,1016751,40,2,5055183,1,NO,MEDIUM
1210,AUTOMOTIVE,ASIA,38564,45,26,5017381,4,NO,LOW
1211,TELECOM,EUROPE,433590,23,33,5051241,2,YES,MEDIUM
1212,AUTOMOTIVE,SOUTH AMERICA,264542,18,8,5030872,3,NO,LOW
1213,FINANCIAL SERVICES,EUROPE,731096,33,24,5065547,9,NO,MEDIUM
1214,HEALTHCARE,SOUTH AMERICA,1425201,29,49,5000315,0,YES,MEDIUM
1215,ECOMMERCE,SOUTH AMERICA,1333968,8,16,4947284,1,YES,LOW
1216,ECOMMERCE,EUROPE,1295771,40,28,4930421,8,NO,MEDIUM
1217,TELECOM,EUROPE,238926,8,26,5000034,2,YES,MEDIUM
1218,ECOMMERCE,EUROPE,870275,30,4,5011121,1,YES,MEDIUM
1219,ECOMMERCE,AFRICA,918216,23,11,5035850,7,NO,LOW
1220,ECOMMERCE,AFRICA,523909,34,29,4977622,5,NO,LOW
1221,OTHER,SOUTH AMERICA,647757,33,19,5000263,1,YES,MEDIUM
1222,TELECOM,ASIA,476005,1,22,4995982,0,YES,LOW
1223,OTHER,AFRICA,715183,15,25,4994796,1,YES,LOW
1224,ECOMMERCE,ASIA,6606,2,17,4951369,6,NO,LOW
1225,EDUCATION,ASIA,77732,23,1,4997431,7,YES,MEDIUM
1226,OTHER,SOUTH AMERICA,79142,15,38,5012622,7,NO,MEDIUM
1227,HEALTHCARE,SOUTH AMERICA,240777,15,19,4978281,6,YES,HIGH
1228,OTHER,EUROPE,56084,5,1,4892331,2,NO,LOW
1229,EDUCATION,AFRICA,90647,17,2,5087346,4,NO,LOW
1230,HEALTHCARE,SOUTH AMERICA,1261784,4,45,5025745,5,YES,MEDIUM
1231,FINANCIAL SERVICES,SOUTH AMERICA,1462313,34,8,4995986,4,YES,HIGH
1232,EDUCATION,ASIA,1099485,20,36,5011906,0,NO,LOW
1233,AUTOMOTIVE,ASIA,1052145,18,18,4989350,2,NO,LOW
1234,ECOMMERCE,SOUTH AMERICA,1280401,21,8,4988755,7,NO,LOW
1235,AUTOMOTIVE,EUROPE,1445877,48,44,4983205,9,NO,LOW
1236,EDUCATION,NORTH AMERICA,1126644,30,11,4959615,6,NO,LOW
1237,FINANCIAL SERVICES,NORTH AMERICA,550685,36,24,5021173,1,YES,HIGH
1238,HEALTHCARE,AFRICA,1094128,40,34,5017231,1,YES,MEDIUM
1239,FINANCIAL SERVICES,AFRICA,338533,28,0,5027693,6,NO,MEDIUM
1240,AUTOMOTIVE,SOUTH AMERICA,1264295,18,35,4927386,8,NO,LOW
1241,HEALTHCARE,EUROPE,1260908,49,38,5039463,5,NO,MEDIUM
1242,ECOMMERCE,ASIA,300764,30,42,5060886,3,YES,MEDIUM
1243,EDUCATION,AFRICA,122594,30,24,5016594,6,YES,MEDIUM
1244,AUTOMOTIVE,SOUTH AMERICA,350449,2,9,5011682,3,NO,LOW
1245,ECOMMERCE,EUROPE,620115,36,45,4929894,8,YES,HIGH
1246,OTHER,EUROPE,814533,34,25,5046375,7,NO,MEDIUM
1247,AUTOMOTIVE,ASIA,378309,27,6,5058758,0,YES,LOW
1248,OTHER,AFRICA,128719,19,42,5025525,0,YES,LOW
1249,FINANCIAL SERVICES,SOUTH AMERICA,974043,17,47,5032472,7,NO,MEDIUM
1250,OTHER,NORTH AMERICA,520428,10,7,5080006,4,YES,MEDIUM
1251,FINANCIAL SERVICES,AFRICA,913368,10,6,4921883,1,NO,LOW
1252,OTHER,ASIA,642664,45,12,5002441,9,NO,MEDIUM
1253,EDUCATION,NORTH AMERICA,872166,3,23,4968006,2,YES,LOW
1254,TELECOM,SOUTH AMERICA,701196,24,5,5045046,5,NO,MEDIUM
1255,ECOMMERCE,ASIA,713451,30,18,4951810,4,NO,LOW
1256,AUTOMOTIVE,AFRICA,105066,4,27,4974990,7,NO,LOW
1257,FINANCIAL SERVICES,SOUTH AMERICA,311356,28,38,4968448,0,YES,HIGH
1258,OTHER,ASIA,1289790,15,10,5031216,5,YES,LOW
1259,OTHER,SOUTH AMERICA,751756,2,30,5010605,4,YES,MEDIUM
1260,AUTOMOTIVE,AFRICA,1440981,42,24,4992125,8,YES,MEDIUM
1261,OTHER,ASIA,451509,15,39,5012475,2,YES,MEDIUM
1262,FINANCIAL SERVICES,SOUTH AMERICA,1214841,31,16,4961587,3,YES,HIGH
1263,ECOMMERCE,EUROPE,306713,22,3,5027705,7,YES,HIGH
1264,ECOMMERCE,EUROPE,24942,29,42,5096032,5,NO,MEDIUM
1265,HEALTHCARE,EUROPE,655719,6,16,5057395,3,YES,MEDIUM
1266,EDUCATION,AFRICA,349353,20,12,4961609,7,YES,MEDIUM
1267,OTHER,ASIA,1304498,6,3,5058223,6,NO,LOW
1268,ECOMMERCE,NORTH AMERICA,1441713,15,30,5064573,9,NO,LOW
1269,FINANCIAL SERVICES,SOUTH AMERICA,819647,49,7,5012541,5,YES,HIGH
1270,HEALTHCARE,SOUTH AMERICA,1441638,10,43,5030521,9,YES,MEDIUM
1271,EDUCATION,ASIA,1112620,41,24,5070385,6,YES,MEDIUM
1272,ECOMMERCE,NORTH AMERICA,513564,24,19,5050659,8,NO,MEDIUM
1273,OTHER,NORTH AMERICA,79586,42,28,4987225,8,YES,HIGH
1274,AUTOMOTIVE,AFRICA,913146,10,2,5025819,9,YES,LOW
1275,EDUCATION,EUROPE,111811,16,12,4974093,0,YES,MEDIUM
1276,EDUCATION,AFRICA,420396,33,30,5035169,3,NO,LOW
1277,OTHER,SOUTH AMERICA,473515,43,19,5005104,9,YES,HIGH
1278,HEALTHCARE,ASIA,1195125,48,4,4928290,8,YES,HIGH
1279,EDUCATION,SOUTH AMERICA,1031981,9,3,5010951,3,YES,MEDIUM
1280,HEALTHCARE,EUROPE,52592,28,39,5067304,2,NO,MEDIUM
1281,HEALTHCARE,AFRICA,188622,0,46,4983207,4,YES,MEDIUM
1282,EDUCATION,EUROPE,681847,5,34,4910754,2,YES,LOW
1283,FINANCIAL SERVICES,ASIA,212462,20,0,5053810,8,NO,MEDIUM
1284,AUTOMOTIVE,ASIA,670458,47,30,5029711,2,NO,LOW
1285,OTHER,AFRICA,561525,43,41,5011937,9,YES,HIGH
1286,OTHER,EUROPE,795610,31,35,4961118,9,YES,HIGH
1287,EDUCATION,NORTH AMERICA,40429,17,25,4983381,9,NO,MEDIUM
1288,HEALTHCARE,ASIA,1058739,31,45,4867038,7,NO,LOW
1289,TELECOM,SOUTH AMERICA,587238,15,44,4957012,9,YES,HIGH
1290,AUTOMOTIVE,AFRICA,410530,21,39,4995568,0,YES,LOW
1291,EDUCATION,ASIA,204759,8,15,5030016,0,NO,LOW
1292,HEALTHCARE,AFRICA,22939,42,7,4971408,4,YES,HIGH
1293,HEALTHCARE,EUROPE,1428187,2,14,4986744,4,NO,LOW
1294,EDUCATION,AFRICA,1299664,30,41,5028553,3,NO,LOW
1295,HEALTHCARE,EUROPE,1146297,49,46,5014296,7,YES,HIGH
1296,ECOMMERCE,AFRICA,1046987,29,42,4929254,5,NO,LOW
1297,TELECOM,ASIA,492874,26,1,5054615,3,NO,LOW
1298,ECOMMERCE,SOUTH AMERICA,577783,37,6,5000995,0,YES,MEDIUM
1299,HEALTHCARE,ASIA,927131,24,4,4888704,3,NO,LOW
1300,AUTOMOTIVE,ASIA,1490148,4,13,5076399,5,NO,LOW
1301,AUTOMOTIVE,AFRICA,505000,23,45,5005975,5,NO,LOW
1302,OTHER,AFRICA,420388,9,22,5073971,0,YES,LOW
1303,OTHER,SOUTH AMERICA,508544,37,32,5109526,1,NO,MEDIUM
1304,FINANCIAL SERVICES,EUROPE,1094756,13,36,4997380,5,NO,LOW
1305,EDUCATION,AFRICA,827822,47,26,5004613,9,YES,MEDIUM
1306,HEALTHCARE,SOUTH AMERICA,669624,35,44,5083272,1,NO,MEDIUM
1307,ECOMMERCE,EUROPE,1334246,43,20,4869764,5,NO,LOW
1308,AUTOMOTIVE,SOUTH AMERICA,1126691,35,10,5030396,4,NO,LOW
1309,EDUCATION,ASIA,871784,22,48,5058853,3,YES,LOW
1310,AUTOMOTIVE,AFRICA,358493,49,41,5058808,2,NO,LOW
1311,EDUCATION,ASIA,507112,15,21,4959241,7,NO,LOW
1312,OTHER,SOUTH AMERICA,1483121,23,43,4989541,5,YES,MEDIUM
1313,TELECOM,AFRICA,896140,5,26,4990679,7,YES,MEDIUM
1314,FINANCIAL SERVICES,AFRICA,1301688,42,30,4947517,2,NO,LOW
1315,TELECOM,SOUTH AMERICA,238229,0,34,5016409,0,YES,MEDIUM
1316,HEALTHCARE,EUROPE,1201414,8,19,4941910,3,YES,MEDIUM
1317,TELECOM,EUROPE,527157,32,45,5129668,6,YES,HIGH
1318,HEALTHCARE,AFRICA,921426,47,36,5050808,1,YES,MEDIUM
1319,ECOMMERCE,ASIA,169517,33,36,4993325,4,YES,HIGH
1320,EDUCATION,EUROPE,890748,45,17,4978440,7,NO,MEDIUM
1321,ECOMMERCE,EUROPE,288796,24,39,5012133,8,YES,HIGH
1322,HEALTHCARE,ASIA,1179629,24,43,5052665,8,YES,MEDIUM
1323,FINANCIAL SERVICES,NORTH AMERICA,762001,6,32,4998161,2,NO,LOW
1324,TELECOM,ASIA,946307,41,0,5096449,5,YES,MEDIUM
1325,TELECOM,AFRICA,971561,11,42,5002542,0,NO,LOW
1326,TELECOM,NORTH AMERICA,1280303,11,2,4980672,3,NO,LOW
1327,ECOMMERCE,SOUTH AMERICA,448113,32,25,4960755,1,NO,MEDIUM
1328,HEALTHCARE,ASIA,731136,38,16,5065234,5,NO,MEDIUM
1329,FINANCIAL SERVICES,ASIA,583255,4,13,5035729,6,YES,MEDIUM
1330,ECOMMERCE,ASIA,675278,30,39,4963515,6,YES,MEDIUM
1331,EDUCATION,ASIA,811059,33,21,4949094,4,YES,MEDIUM
1332,FINANCIAL SERVICES,SOUTH AMERICA,232932,40,12,4959305,3,YES,HIGH
1333,EDUCATION,NORTH AMERICA,999325,9,22,5077858,9,YES,MEDIUM
1334,EDUCATION,NORTH AMERICA,318029,48,18,5078325,7,YES,HIGH
1335,EDUCATION,ASIA,728401,9,28,4956148,8,YES,MEDIUM
1336,EDUCATION,ASIA,1368576,17,4,5039774,7,NO,LOW
1337,TELECOM,AFRICA,76276,32,34,5002805,4,NO,LOW
1338,AUTOMOTIVE,EUROPE,1210392,14,3,5033457,8,YES,MEDIUM
1339,TELECOM,SOUTH AMERICA,1174281,30,46,5077647,3,NO,LOW
1340,TELECOM,AFRICA,194961,19,24,5026512,4,NO,LOW
1341,ECOMMERCE,EUROPE,827993,11,41,4926595,5,YES,MEDIUM
1342,OTHER,ASIA,398109,8,23,4933450,9,YES,MEDIUM
1343,OTHER,AFRICA,1498147,9,33,5006432,7,NO,LOW
1344,OTHER,SOUTH AMERICA,342483,46,8,5060577,9,NO,HIGH
1345,HEALTHCARE,EUROPE,939659,19,26,5023543,1,YES,MEDIUM
1346,ECOMMERCE,ASIA,958193,29,45,4980021,5,NO,LOW
1347,AUTOMOTIVE,AFRICA,1099582,45,24,5021221,5,NO,LOW
1348,FINANCIAL SERVICES,SOUTH AMERICA,900304,45,20,4922277,1,NO,MEDIUM
1349,EDUCATION,SOUTH AMERICA,1418080,31,4,4998643,9,NO,LOW
1350,EDUCATION,AFRICA,625087,19,13,5109945,3,NO,LOW
1351,FINANCIAL SERVICES,AFRICA,1435291,34,21,5011486,6,NO,LOW
1352,HEALTHCARE,EUROPE,158520,41,41,4978141,8,YES,HIGH
1353,OTHER,SOUTH AMERICA,1189793,12,9,5055266,7,NO,LOW
1354,HEALTHCARE,ASIA,1024393,48,9,4981241,7,NO,MEDIUM
1355,TELECOM,EUROPE,876789,48,48,4881202,2,YES,HIGH
1356,EDUCATION,EUROPE,1044077,33,20,5025576,2,YES,MEDIUM
1357,ECOMMERCE,AFRICA,1391922,45,20,4981484,6,YES,MEDIUM
1358,OTHER,NORTH AMERICA,1099534,24,9,4981328,9,YES,HIGH
1359,TELECOM,SOUTH AMERICA,1361014,33,48,5073604,8,YES,HIGH
1360,FINANCIAL SERVICES,ASIA,1317905,43,40,5069824,1,YES,MEDIUM
1361,HEALTHCARE,SOUTH AMERICA,213208,26,4,5092026,7,YES,HIGH
1362,AUTOMOTIVE,ASIA,8482,5,15,5073395,0,YES,LOW
1363,TELECOM,NORTH AMERICA,680185,2,20,4970073,0,YES,MEDIUM
1364,HEALTHCARE,ASIA,884386,8,2,4979663,3,NO,LOW
1365,EDUCATION,SOUTH AMERICA,888262,44,48,4983237,6,NO,MEDIUM
1366,AUTOMOTIVE,AFRICA,1078077,14,5,5031740,0,YES,LOW
1367,FINANCIAL SERVICES,EUROPE,1441687,36,32,4952061,9,NO,MEDIUM
1368,AUTOMOTIVE,EUROPE,633288,42,4,5001357,9,YES,HIGH
1369,ECOMMERCE,SOUTH AMERICA,339127,4,37,5094519,1,NO,LOW
1370,EDUCATION,AFRICA,174556,38,43,4963240,4,NO,LOW
1371,EDUCATION,AFRICA,142625,6,34,5045467,9,NO,LOW
1372,EDUCATION,AFRICA,785593,7,33,4964105,3,YES,LOW
1373,EDUCATION,NORTH AMERICA,277501,35,22,4995593,0,NO,LOW
1374,EDUCATION,EUROPE,162765,37,29,5017019,8,NO,MEDIUM
1375,TELECOM,NORTH AMERICA,407909,26,23,4954804,8,NO,MEDIUM
1376,AUTOMOTIVE,SOUTH AMERICA,938830,32,18,5034265,4,NO,LOW
1377,TELECOM,SOUTH AMERICA,122880,25,7,4954987,6,NO,MEDIUM
1378,AUTOMOTIVE,EUROPE,791719,8,29,4844051,0,NO,LOW
1379,AUTOMOTIVE,NORTH AMERICA,687856,10,23,5037022,0,NO,LOW
1380,EDUCATION,SOUTH AMERICA,975589,34,4,4971561,1,NO,LOW
1381,ECOMMERCE,NORTH AMERICA,685550,34,35,5031588,5,NO,MEDIUM
1382,OTHER,SOUTH AMERICA,835168,7,48,4942237,0,NO,LOW
1383,EDUCATION,ASIA,100555,24,9,4991279,6,YES,MEDIUM
1384,EDUCATION,NORTH AMERICA,138861,20,17,5032444,5,YES,HIGH
1385,FINANCIAL SERVICES,AFRICA,1329011,7,3,5025037,0,YES,LOW
1386,HEALTHCARE,EUROPE,1296884,12,29,4926225,8,NO,LOW
1387,OTHER,EUROPE,442691,22,12,5022226,5,YES,MEDIUM
1388,EDUCATION,EUROPE,192240,42,37,5006693,2,YES,HIGH
1389,AUTOMOTIVE,EUROPE,1058008,35,8,4962755,6,YES,MEDIUM
1390,AUTOMOTIVE,EUROPE,25741,15,8,5047165,7,NO,LOW
1391,ECOMMERCE,EUROPE,298871,47,5,5009651,2,YES,HIGH
1392,OTHER,SOUTH AMERICA,1213586,5,41,5038278,0,YES,LOW
1393,ECOMMERCE,SOUTH AMERICA,417067,21,23,4978184,5,NO,MEDIUM
1394,ECOMMERCE,EUROPE,395152,34,26,5010202,6,YES,HIGH
1395,FINANCIAL SERVICES,SOUTH AMERICA,955787,2,18,5048412,9,YES,HIGH
1396,AUTOMOTIVE,SOUTH AMERICA,697391,5,41,5012262,2,NO,LOW
1397,ECOMMERCE,AFRICA,407067,48,45,4961930,5,YES,MEDIUM
1398,HEALTHCARE,NORTH AMERICA,184288,4,45,5004877,4,NO,MEDIUM
1399,FINANCIAL SERVICES,SOUTH AMERICA,152568,23,28,5027745,4,NO,MEDIUM
1400,OTHER,EUROPE,384784,45,49,5046151,6,NO,MEDIUM
1401,ECOMMERCE,ASIA,513843,16,6,4969561,6,NO,LOW
1402,FINANCIAL SERVICES,AFRICA,184952,48,15,5003716,7,NO,MEDIUM
1403,EDUCATION,SOUTH AMERICA,1066753,3,17,5080104,7,NO,LOW
1404,ECOMMERCE,AFRICA,970147,38,26,4986131,8,YES,MEDIUM
1405,HEALTHCARE,AFRICA,1060470,24,10,4987178,6,YES,MEDIUM
1406,ECOMMERCE,EUROPE,1487349,10,20,5041828,8,NO,LOW
1407,ECOMMERCE,SOUTH AMERICA,446692,47,32,4904794,1,YES,HIGH
1408,OTHER,SOUTH AMERICA,645873,12,0,4979230,4,YES,MEDIUM
1409,EDUCATION,EUROPE,1408029,46,15,5012085,5,YES,MEDIUM
1410,AUTOMOTIVE,ASIA,1239621,6,45,5026377,4,NO,LOW
1411,TELECOM,SOUTH AMERICA,1280926,43,11,5068113,3,YES,HIGH
1412,EDUCATION,NORTH AMERICA,169452,30,49,5017083,6,YES,HIGH
1413,TELECOM,AFRICA,119135,21,23,5057745,2,YES,MEDIUM
1414,HEALTHCARE,EUROPE,192143,49,6,4948166,6,NO,HIGH
1415,HEALTHCARE,AFRICA,1289807,22,28,5040811,3,NO,LOW
1416,OTHER,EUROPE,1146445,4,46,4993001,8,YES,MEDIUM
1417,EDUCATION,AFRICA,1017180,3,1,5009339,6,YES,LOW
1418,ECOMMERCE,ASIA,76978,24,6,5004082,8,YES,HIGH
1419,ECOMMERCE,ASIA,586695,43,0,5068595,6,YES,HIGH
1420,AUTOMOTIVE,EUROPE,181534,32,42,4998662,6,NO,MEDIUM
1421,ECOMMERCE,SOUTH AMERICA,288924,20,14,4942005,4,NO,MEDIUM
1422,FINANCIAL SERVICES,ASIA,634831,39,15,4973794,0,NO,LOW
1423,ECOMMERCE,NORTH AMERICA,757075,11,46,4963580,1,NO,LOW
1424,OTHER,AFRICA,825199,34,25,4965405,0,NO,LOW
1425,HEALTHCARE,SOUTH AMERICA,206588,4,6,5065517,2,NO,LOW
1426,FINANCIAL SERVICES,AFRICA,309204,12,11,5027847,1,YES,MEDIUM
1427,HEALTHCARE,ASIA,655406,36,39,4938907,1,YES,MEDIUM
1428,HEALTHCARE,NORTH AMERICA,184167,15,41,4988161,8,NO,MEDIUM
1429,OTHER,ASIA,907587,17,15,4991256,8,NO,LOW
1430,OTHER,SOUTH AMERICA,205283,33,4,5052291,5,YES,HIGH
1431,EDUCATION,EUROPE,1280516,36,11,4984554,2,NO,LOW
1432,TELECOM,EUROPE,580994,48,47,5017653,0,YES,HIGH
1433,ECOMMERCE,EUROPE,1012727,28,35,5091169,2,YES,MEDIUM
1434,TELECOM,EUROPE,783847,31,38,4987186,1,YES,MEDIUM
1435,AUTOMOTIVE,NORTH AMERICA,1108792,41,1,4928291,0,YES,MEDIUM
1436,OTHER,NORTH AMERICA,867086,35,40,4954333,0,YES,MEDIUM
1437,AUTOMOTIVE,EUROPE,140091,25,16,5035815,7,YES,HIGH
1438,TELECOM,SOUTH AMERICA,406667,33,15,4976983,6,NO,MEDIUM
1439,ECOMMERCE,EUROPE,469202,2,24,5072246,5,NO,LOW
1440,TELECOM,SOUTH AMERICA,1337716,42,44,5029377,9,YES,HIGH
1441,FINANCIAL SERVICES,NORTH AMERICA,1138865,20,1,5045082,5,YES,HIGH
1442,FINANCIAL SERVICES,EUROPE,500270,41,7,5063744,1,NO,MEDIUM
1443,EDUCATION,NORTH AMERICA,233713,39,4,4958538,2,NO,MEDIUM
1444,AUTOMOTIVE,NORTH AMERICA,325549,10,41,4961107,4,YES,MEDIUM
1445,FINANCIAL SERVICES,SOUTH AMERICA,728899,47,2,4990120,4,YES,HIGH
1446,AUTOMOTIVE,SOUTH AMERICA,593914,24,28,5051442,3,NO,LOW
1447,EDUCATION,EUROPE,1004061,8,30,4994835,2,NO,LOW
1448,EDUCATION,ASIA,955323,33,12,5006994,3,YES,MEDIUM
1449,EDUCATION,SOUTH AMERICA,188213,34,46,4963789,6,NO,MEDIUM
1450,HEALTHCARE,NORTH AMERICA,377720,26,5,4980330,7,NO,MEDIUM
1451,TELECOM,NORTH AMERICA,890615,34,20,5067665,4,YES,HIGH
1452,TELECOM,SOUTH AMERICA,536058,15,16,5067561,5,YES,HIGH
1453,ECOMMERCE,EUROPE,937397,2,0,4938089,9,NO,LOW
1454,ECOMMERCE,ASIA,954453,29,10,4977530,5,NO,LOW
1455,ECOMMERCE,SOUTH AMERICA,1417177,47,26,4999258,3,YES,MEDIUM
1456,AUTOMOTIVE,ASIA,1302370,43,38,4951557,1,NO,LOW
1457,TELECOM,NORTH AMERICA,1196828,24,13,4950140,3,NO,LOW
1458,HEALTHCARE,AFRICA,805281,12,20,5043303,0,NO,LOW
1459,TELECOM,EUROPE,197944,6,46,4964105,4,NO,LOW
1460,TELECOM,AFRICA,985215,25,15,4942092,9,YES,MEDIUM
1461,TELECOM,SOUTH AMERICA,1120997,32,45,4984047,7,YES,HIGH
1462,HEALTHCARE,NORTH AMERICA,1315972,41,36,5020857,7,YES,HIGH
1463,EDUCATION,EUROPE,731699,6,48,5000015,2,NO,LOW
1464,EDUCATION,AFRICA,1357676,49,34,4982852,8,YES,MEDIUM
1465,HEALTHCARE,AFRICA,156005,15,36,4978175,9,YES,HIGH
1466,ECOMMERCE,EUROPE,211740,29,48,5049306,8,YES,HIGH
1467,HEALTHCARE,ASIA,361592,40,38,5071078,9,YES,HIGH
1468,FINANCIAL SERVICES,AFRICA,1334277,41,45,5047984,2,NO,LOW
1469,EDUCATION,NORTH AMERICA,602548,22,46,5014027,8,NO,MEDIUM
1470,OTHER,EUROPE,833433,32,27,4958651,4,YES,MEDIUM
1471,AUTOMOTIVE,EUROPE,574799,9,35,5008827,4,YES,MEDIUM
1472,EDUCATION,SOUTH AMERICA,149629,37,28,5049168,1,YES,HIGH
1473,EDUCATION,SOUTH AMERICA,1297215,36,26,4973089,6,NO,LOW
1474,HEALTHCARE,ASIA,710798,30,25,5097480,0,NO,LOW
1475,AUTOMOTIVE,NORTH AMERICA,1462145,30,5,5059629,2,YES,MEDIUM
1476,TELECOM,NORTH AMERICA,1411855,38,33,5041434,3,YES,MEDIUM
1477,EDUCATION,NORTH AMERICA,924885,24,23,4894569,8,NO,LOW
1478,AUTOMOTIVE,ASIA,395901,12,29,4960760,3,YES,LOW
1479,AUTOMOTIVE,AFRICA,1301206,43,1,5005401,3,YES,LOW
1480,HEALTHCARE,EUROPE,54638,14,36,5010276,2,YES,HIGH
1481,ECOMMERCE,EUROPE,1175781,45,22,5086218,1,NO,LOW
1482,EDUCATION,EUROPE,97229,19,43,5038701,9,NO,MEDIUM
1483,HEALTHCARE,SOUTH AMERICA,732763,2,34,5017956,9,YES,HIGH
1484,FINANCIAL SERVICES,AFRICA,1399923,10,0,4952456,5,NO,LOW
1485,EDUCATION,AFRICA,1170509,7,19,4994385,4,NO,LOW
1486,ECOMMERCE,NORTH AMERICA,1452268,2,9,5036137,0,YES,LOW
1487,OTHER,SOUTH AMERICA,60810,25,23,5009139,4,YES,HIGH
1488,OTHER,AFRICA,139073,46,44,4971440,7,NO,MEDIUM
1489,TELECOM,EUROPE,1284063,5,24,4994259,1,NO,LOW
1490,EDUCATION,EUROPE,1442465,43,7,4999012,0,NO,LOW
1491,TELECOM,SOUTH AMERICA,69914,21,0,5023221,9,YES,HIGH
1492,ECOMMERCE,SOUTH AMERICA,670888,34,13,5016606,0,YES,MEDIUM
1493,AUTOMOTIVE,ASIA,1219191,10,40,5068273,2,NO,LOW
1494,OTHER,EUROPE,105579,1,36,5096487,9,NO,MEDIUM
1495,FINANCIAL SERVICES,ASIA,570810,35,43,5048642,0,YES,MEDIUM
